Area_Type,Area_Name,Year,Time_Period,Ownership,NAICS_Level,NAICS_Code,Industry_Name,Establishments,Average_Monthly_Employment,1st_Month_Emp,2nd_Month_Emp,3rd_Month_Emp,Total_Wages,Average_Weekly_Wages
County,Alameda County,2020,Annual,Private,5,32561,Soap and Cleaning Compound Manufacturing,11,527,0,0,0,218522375,7970
County,Alameda County,2020,Annual,Private,6,711211,Sports Teams and Clubs,13,478,0,0,0,136746068,5502
County,Alameda County,2020,Annual,Private,3,518,"ISPs, Search Portals, & Data Processing",106,6745,0,0,0,1887001819,5380
County,Alameda County,2020,Annual,Private,4,3256,Cleaning Compound and Toiletry Mfg,21,900,0,0,0,244846293,5231
County,Alameda County,2020,Annual,Private,5,52231,Mortgage and Nonmortgage Loan Brokers,54,216,0,0,0,56488789,5041
County,Alameda County,2020,Annual,Private,6,335314,Relay & Industrial Control Manufacturing,6,96,0,0,0,21813456,4366
County,Alameda County,2020,Annual,Private,6,333242,Semiconductor Machinery Manufacturing,47,4392,0,0,0,993272135,4349
County,Alameda County,2020,Annual,Private,6,325411,Medicinal and Botanical Manufacturing,12,196,0,0,0,42617312,4173
County,Alameda County,2020,Annual,Private,3,483,Water Transportation,7,455,0,0,0,98537852,4165
County,Alameda County,2020,Annual,Private,6,541513,Computer Facilities Management Services,25,226,0,0,0,48177238,4101
County,Alpine County,2020,Annual,Private,2,1024,Professional and Business Services,7,42,0,0,0,3610146,1646
County,Alpine County,2020,Annual,Federal Government,3,491,Postal Service,1,1,0,0,0,41036,1353
County,Alpine County,2020,Annual,Private,3,236,Construction of Buildings,4,10,0,0,0,636931,1176
County,Alpine County,2020,Annual,Local Government,2,92,Public Administration,4,147,0,0,0,8249003,1079
County,Alpine County,2020,Annual,Local Government,3,221,Utilities,3,32,0,0,0,1588594,970
County,Alpine County,2020,Annual,Private,1,101,Goods-Producing,6,13,0,0,0,655995,952
County,Alpine County,2020,Annual,Private,0,10,"Total, All Industries",69,410,0,0,0,17567113,824
County,Alpine County,2020,Annual,Private,1,102,Service-Providing,63,397,0,0,0,16911118,820
County,Alpine County,2020,Annual,Private,2,1026,Leisure and Hospitality,10,255,0,0,0,10705936,808
County,Alpine County,2020,Annual,Private,3,531,Real Estate,4,24,0,0,0,903187,731
County,Amador County,2020,Annual,Private,6,332710,Machine Shops,3,24,0,0,0,3007831,2453
County,Amador County,2020,Annual,Private,5,62111,Offices of Physicians,27,79,0,0,0,8464915,2065
County,Amador County,2020,Annual,Private,5,54161,Management Consulting Services,7,10,0,0,0,1097218,2059
County,Amador County,2020,Annual,Private,6,541511,Custom Computer Programming Services,4,18,0,0,0,1758203,1914
County,Amador County,2020,Annual,Private,5,52393,Investment Advice,4,9,0,0,0,873302,1799
County,Amador County,2020,Annual,Private,4,5416,Management & Technical Consulting Svc,12,16,0,0,0,1391321,1726
County,Amador County,2020,Annual,Private,3,523,Financial Investment & Related Activity,8,15,0,0,0,1286987,1707
County,Amador County,2020,Annual,Private,3,332,Fabricated Metal Product Manufacturing,7,44,0,0,0,3821749,1664
County,Amador County,2020,Annual,Private,5,54151,Computer Systems Design and Rel Services,12,28,0,0,0,2383023,1661
County,Amador County,2020,Annual,Private,5,48412,"General Freight Trucking, Long-Distance",4,5,0,0,0,448680,1644
County,Butte County,2020,Annual,Private,6,813920,Professional Organizations,6,19,0,0,0,4229711,4189
County,Butte County,2020,Annual,Private,6,541612,Human Resource Consulting Services,3,15,0,0,0,2000395,2495
County,Butte County,2020,Annual,Private,5,52393,Investment Advice,23,86,0,0,0,11018656,2466
County,Butte County,2020,Annual,Private,6,621112,Offices of Mental Health Physicians,7,10,0,0,0,1095160,2089
County,Butte County,2020,Annual,Private,4,5239,Other Financial Investment Activities,30,120,0,0,0,12797801,2055
County,Butte County,2020,Annual,Private,5,52312,Securities Brokerage,24,63,0,0,0,6508903,1982
County,Butte County,2020,Annual,Federal Government,6,922120,Police Protection,1,7,0,0,0,673600,1968
County,Butte County,2020,Annual,Private,3,237,Heavy and Civil Engineering Construction,25,343,0,0,0,35053436,1967
County,Butte County,2020,Annual,Private,5,61151,Technical and Trade Schools,5,48,0,0,0,4805985,1942
County,Butte County,2020,Annual,Private,4,2371,Utility System Construction,11,129,0,0,0,12698004,1898
County,Calaveras County,2020,Annual,Private,3,221,Utilities,5,108,0,0,0,15775439,2820
County,Calaveras County,2020,Annual,Private,3,237,Heavy and Civil Engineering Construction,11,98,0,0,0,9084230,1784
County,Calaveras County,2020,Annual,Private,5,54133,Engineering Services,5,21,0,0,0,1794656,1670
County,Calaveras County,2020,Annual,Private,4,5313,Activities Related to Real Estate,6,39,0,0,0,3323119,1621
County,Calaveras County,2020,Annual,Local Government,6,221310,Water Supply and Irrigation Systems,4,89,0,0,0,7362376,1598
County,Calaveras County,2020,Annual,Private,6,238912,Nonresidential Site Preparation Contrs,5,38,0,0,0,3009467,1536
County,Calaveras County,2020,Annual,Private,5,42332,Masonry Material Merchant Wholesalers,5,54,0,0,0,3820802,1369
County,Calaveras County,2020,Annual,Private,4,5413,Architectural and Engineering Services,10,54,0,0,0,3789416,1362
County,Calaveras County,2020,Annual,Private,5,23891,Site Preparation Contractors,13,64,0,0,0,4482305,1340
County,Calaveras County,2020,Annual,Private,4,6211,Offices of Physicians,21,80,0,0,0,5486195,1316
California - Statewide,California,2020,Annual,Private,5,51919,All Other Information Services,113,3686,0,0,0,1819275356,9491
California - Statewide,California,2020,Annual,Private,6,517919,All Other Telecommunications,414,5604,0,0,0,2160496836,7414
California - Statewide,California,2020,Annual,Private,5,48531,Taxi Service,140,8753,0,0,0,3229831092,7096
California - Statewide,California,2020,Annual,Private,6,519130,Internet publishing and web search portals,3156,121992,0,0,0,44576873428,7027
California - Statewide,California,2020,Annual,Private,6,334111,Electronic Computer Manufacturing,212,69113,0,0,0,25198783497,7012
California - Statewide,California,2020,Annual,Private,6,523920,Portfolio Management,2836,24651,0,0,0,8868029919,6918
California - Statewide,California,2020,Annual,Private,4,3341,Computers and Peripheral Equipment,432,80400,0,0,0,27015330492,6462
California - Statewide,California,2020,Annual,Private,5,71151,Independent Artists/Writers/Performers,14999,15068,0,0,0,5040958022,6433
